city,province,country,total_pop,urban_pop,rural_pop,total_male,total_female,total_trans
Lehri,Balochistan,Pakistan,"118,046","16,608","101,438","61,495","56,549",2
Lodhran,Punjab,Pakistan,"1,700,620","265,710","1,434,910","862,663","837,873",84
Loralai,Balochistan,Pakistan,"397,400","64,938","332,462","212,451","184,948",1
Lower Dir,Khyber Pakhtunkhwa,Pakistan,"1,435,917","40,373","1,395,544","710,335","725,576",6
Malakand PA,Khyber Pakhtunkhwa,Pakistan,"720,295","68,200","652,095","362,089","358,203",3
Mandi Bahauddin,Punjab,Pakistan,"1,593,292","326,400","1,266,892","776,205","816,971",116
Mansehra,Khyber Pakhtunkhwa,Pakistan,"1,556,460","144,855","1,411,605","772,123","784,181",156
Mardan,Khyber Pakhtunkhwa,Pakistan,"2,373,061","439,325","1,933,736","1,200,871","1,172,112",78
Mastung,Balochistan,Pakistan,"266,461","35,129","231,332","137,963","128,498",0
Matiari,Sindh,Pakistan,"769,349","182,590","586,759","396,799","372,518",32
Mianwali,Punjab,Pakistan,"1,546,094","328,395","1,217,699","774,060","771,995",39
Mirpur Khas,Sindh,Pakistan,"1,505,876","425,752","1,080,124","778,172","727,650",54
Mohmand,Khyber Pakhtunkhwa,Pakistan,"466,984",0,"466,984","238,003","228,981",0
Multan,Punjab,Pakistan,"4,745,109","2,058,290","2,686,819","2,437,412","2,307,504",193
Musakhel,Balochistan,Pakistan,"167,017","14,138","152,879","90,240","76,777",0
Muzaffargarh,Punjab,Pakistan,"4,322,009","694,771","3,627,238","2,218,744","2,103,132",133
Nankana Sahib,Punjab,Pakistan,"1,356,374","246,053","1,110,321","691,944","664,359",71
Narowal,Punjab,Pakistan,"1,709,757","257,248","1,452,509","841,950","867,712",95
Nasirabad,Balochistan,Pakistan,"490,538","96,591","393,947","252,878","237,651",9
Naushahro Feroze,Sindh,Pakistan,"1,612,373","379,802","1,232,571","832,569","779,747",57
North Waziristan,Khyber Pakhtunkhwa,Pakistan,"543,254","4,361","538,893","280,232","263,015",7
Nowshera,Khyber Pakhtunkhwa,Pakistan,"1,518,540","338,650","1,179,890","781,722","736,778",40
Nushki,Balochistan,Pakistan,"178,796","46,386","132,410","92,430","86,366",0
Okara,Punjab,Pakistan,"3,039,139","831,790","2,207,349","1,564,476","1,474,495",168
Orakzai,Khyber Pakhtunkhwa,Pakistan,"254,356",0,"254,356","127,477","126,879",0
Pakpattan,Punjab,Pakistan,"1,823,687","288,096","1,535,591","927,881","895,656",150
Panjgur,Balochistan,Pakistan,"316,385","80,324","236,061","166,731","149,654",0
Peshawar,Khyber Pakhtunkhwa,Pakistan,"4,269,079","1,970,042","2,299,037","2,201,257","2,067,591",231
Pishin,Balochistan,Pakistan,"736,481","143,142","593,339","379,122","357,356",3
Qambar Shahdadkot,Sindh,Pakistan,"1,341,042","397,564","943,478","682,859","658,148",35
Quetta,Balochistan,Pakistan,"2,275,699","1,001,205","1,274,494","1,193,913","1,081,755",31
Rahim Yar Khan,Punjab,Pakistan,"4,814,006","1,032,636","3,781,370","2,467,840","2,345,938",228
Rajanpur,Punjab,Pakistan,"1,995,958","337,202","1,658,756","1,028,015","967,878",65
Rawalpindi,Punjab,Pakistan,"5,405,633","2,875,516","2,530,117","2,741,872","2,663,075",686
Sahiwal,Punjab,Pakistan,"2,517,560","517,120","2,000,440","1,281,072","1,236,369",119
Sanghar,Sindh,Pakistan,"2,057,057","588,405","1,468,652","1,064,484","992,509",64
Sargodha,Punjab,Pakistan,"3,703,588","1,091,045","2,612,543","1,872,170","1,831,114",304
Shaheed Benazirabad,Sindh,Pakistan,"1,612,847","489,337","1,123,510","833,935","778,883",29
Shangla,Khyber Pakhtunkhwa,Pakistan,"757,810",0,"757,810","385,471","372,338",1
Sheerani,Balochistan,Pakistan,"153,116",0,"153,116","84,994","68,115",7
Sheikhupura,Punjab,Pakistan,"3,460,426","1,201,790","2,258,636","1,789,956","1,670,310",160
Shikarpur,Sindh,Pakistan,"1,231,481","303,249","928,232","634,985","596,477",19
Sialkot,Punjab,Pakistan,"3,893,672","1,143,362","2,750,310","1,921,643","1,971,746",283
Sibi,Balochistan,Pakistan,"135,572","64,427","71,145","71,652","63,918",2
Sohbatpur,Balochistan,Pakistan,"200,538","12,867","187,671","103,142","97,396",0
South Waziristan,Khyber Pakhtunkhwa,Pakistan,"679,185",0,"679,185","357,889","321,294",2
Sujawal,Sindh,Pakistan,"781,967","85,705","696,262","406,754","375,193",20
Sukkur,Sindh,Pakistan,"1,487,903","720,115","767,788","776,259","711,587",57
Swabi,Khyber Pakhtunkhwa,Pakistan,"1,624,616","275,925","1,348,691","815,526","809,047",43
Swat,Khyber Pakhtunkhwa,Pakistan,"2,309,570","695,900","1,613,670","1,172,974","1,136,544",52
Tando Allah Yar,Sindh,Pakistan,"836,887","261,793","575,094","432,746","404,112",29
Tando Muhammad Khan,Sindh,Pakistan,"677,228","142,050","535,178","350,010","327,202",16
Tank,Khyber Pakhtunkhwa,Pakistan,"391,885","47,165","344,720","200,687","191,194",4
